,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,Gross.Salary0
1,0,0,0,0,0,0,0,0.07539787,0,0,0,0,0,0,0,0,0,0,0,3043.7
2,1,1,0,0,0,0,0,0.406291241,0,0,0,0,0,0,0,0,0,0,0,4170
3,0,0,0,0,0,0,1,0.565675117,0,0,0,0,0,0,0,0,0,0,0,3148.4
4,0,0.909514871,0,0,0,0,0,0.196440942,0,0,0,0,0,0,1,0,0,0,0,3678.4
5,1,0,0,1,0,0,0,0.126090933,0,0,0,0,0,0,0,0,0,0,0,3586.4
6,0,0,0,1,0,0,0,0.047602857,0,0,0,0,0,0,0,0,0,0,0,3126.4
7,0,0,0,0,0,0,1,0.046873608,0,0,0,0,0,0,0,0,0,0,0,3010.4
8,1,0.881592313,0,0,0,0,0,0.231707315,0,0,0,0,0,0,0,0,0,0,0,3770.4
9,0,0,0,0,0,0,0,0.169854971,0,0,0,0,0,0,0,0,0,0,0,2672.67
10,0,0,0,0,0,0,0,0.406291241,0,0,0,0,0,0,0,0,0,0,0,2849.07
11,1,0,1,0,0,0,0,0.104159167,0,0,0,0,0,0,1,0,0,0,0,3738
12,1,0.848183502,0,0,0,0,0,0.122515359,0,0,0,0,0,0,0,0,0,0,0,3564
13,0,0,0,0,0,0,0,0.122521931,0,0,0,0,0,0,0,0,0,0,0,2976.4
14,1,0,0,0,0,0,0,0.344516381,0,0,0,0,0,0,0,0,0,0,0,3330
15,0,0,0,0,0,0,1,0.114931592,0,0,0,0,0,0,0,0,0,0,0,2720
16,0,0,0,0,0,0,0,0.280316229,0,0,0,0,0,0,0,0,0,0,0,2870
17,0,0,0,0,1,0,0,0.090239044,0,0,0,0,0,0,0,0,0,0,0,2350
18,0,0,0,0,0,0,1,0.122521931,0,0,0,0,0,0,0,0,0,0,0,2626.4
19,1,0,0,1,0,0,0,0.436957356,0,0,0,0.9258201,0.886504262,0,0,0,0,0,0,3798
20,0,0,0,0,0,0,0,0.170800943,0,0,0,0.894427191,0.886504262,0,0,0,0,0,0,2834
21,0,0,0,0,0,0,0,0.101866475,0,0,0,0.845154255,0.886504262,0,0,0,0,0,0,2670
22,0,0,0,0,0,0,0,0.047470252,0,0,0,0.810643483,0.886504262,0,0,0,0,0,0,2870
23,0,0,0,0,0,0,0,0.178012163,0,0,0,0.878310066,0.886504262,0,0,0,0,0,0,2670
24,0,0,0,0,0,0,1,0.025219951,0,0,0,0,0,0,0,0,0,0,0,2600
25,1,0,0,0,0,0,0,0.138215665,0,0,0,0,0,0,0,0,0,0,0,3210
26,0,0,0,0,0,0,0,0.312737402,0,0,0,0,0,0,0,1,0,0,0,2826.4
27,0,0,0,0,0,0,0,0.089448787,0,0,0,0,0,0,0,0,0,0,0,3022.4
28,1,0,1,0,0,0,0,0.312737402,0,0,0,0,0,0,0,0,0,0,0,3310
29,0,0,0,0,0,0,0,0.046372561,0,0,0,0,0,0,0,0,0,0,0,2700
30,0,0,0,0,0,0,0,0.344516381,0,0,0,0,0,0,0,0,0,0,0,2976
31,0,0,0,0,0,1,0,0.212800466,0,0,0,0,0,0,0,0,0,0,0,2700
32,1,0,0,0,0,0,1,0.375689879,0,0,0,0,0,0,0,0,0,0,0,3276.4
33,1,0,0,0,0,0,0,0.344516381,0,0,0,0,0,0,0,0,0,0,0,3366.4
34,1,0,0,1,0,0,0,0.406291241,0,0,0,0,0,0,0,0,0,0,0,3126.4
35,0,0,0,0,0,0,1,0.46589652,0,0,0,0,0,0,1,0,0,0,0,3590.4
36,0,0,0,1,0,0,0,0.213317224,0,0,0,0,0,0,0,0,0,0,0,3320.4
37,0,0,0,0,0,0,0,0.259558695,0,0,0,0,0,0,0,0,0,0,0,3385.36
38,1,0.857950183,0,0,0,0,0,0.165057062,0,0,0,0,0,0,0,0,0,0,0,3494
39,1,0.913438467,0,0,0,0,0,0.25928929,0,0,0,0,0,0,0,0,0,0,0,3954
